singer,song,album,lyrics
Sagopa Kajmer,Benim Hayatım,Kalp Hastası,"Mızraba değsin ateş, yansın ortam 
Aleve doysun öz ay gibi gönlüm uzay kadar kalbim nefes kadar içten sular kadar berrak ceylan misli ürkek canımdan 
Dünyanın bana getirdikleri de var alıp benden öteye götürdükleri de 
Ben bile bana kalmıyorum hey sen sana kalır mısın?
Renkli dünyalara karşı siyah beyaz mısın? Agah mısın evvel? 
Sonra sual edeyim hayattan berduş başını topla ayaklar altından ya da sal karıncaları ayaklarının altından 
Yaşadığın kötü seni at hemen sırtından hey kaç oralardan 
Görebildiklerinle yetin insan oğlu cebi delik bir dilenci ne versen alır ne kadar koysan taşır 
Haydi denizden su taşır gücün yeterse benden daha uzağa bağır hey hey 
Benim hayatım beni bağlar 
Benim hayatım beni düğümler
Uzaktan konuşmak kolay 
Ateş düştüğü beni yakar 
Benim hayatım bir çizik ayna 
Benim hayatım bir dolu şarkı 
Sözümden anlamak kolay 
Ateş düştüğü beni yakar 
Laf sahibinin kölesi olur
Dil kölenin dostu bu böyle biline! 
Seni bilmem ama benden bu kadar pes doğrusu!
Bizim gibi kavukları çok gördü dünya 
Sen her baktığında dünyalar gördün 
Kiminin dünyalarını yıktın, kimine dünyaları verdin Ve kimisi senin dünyanı başına yıktı 
Seni pis yollara götürecek ayaklarım hiç olmadı 
Kırıntına uzanacak ellerim de yok 
Maskeyle bana bakan yüzüne teveccü edecek gözlerim de olmadı benim 
Can pazarında can kalmadı benim 
İyi bir halde değilsin her bir tarafın bulanık 
Hayalperest olmuşsunda aşkların hiç bitmemiş 
Bir merhemden sürmüşsün ama yaralar iyileşmemiş 
Bir bildiğin varsa söyle önceden duyulmamış 
Kendini öldüren insanlarla doldu ömrüm 
Yalan suyundan içen nice teşneler gördüm 
İçmekten boğuldular da arkalarından ağlanmadı 
Önemsenmediler öldüler 
Benim hayatım beni bağlar 
Benim hayatım beni düğümler
Uzaktan konuşmak kolay 
Ateş düştüğü beni yakar 
Benim hayatım bir çizik ayna 
Benim hayatım bir dolu şarkı 
Sözümden anlamak kolay 
Ateş düştüğü beni yakar 
Laf sahibinin kölesi olur 
Dil kölenin dostu bu böyle biline 
Seni bilmem ama benden bu kadar pes doğrusu"
Sagopa Kajmer,Beslenme Çantam (ft. Kolera),Beslenme Çantam,"Sago kasva
Sago lo lo lo
Komedya maymun 
aahhh duble v,duble v,duble v nokta melankolia nokta com nokta tr
Kolera:
Bebeklerin kangalları mıncıklamalarına benzer cesurluğum
İçinde ölü insanlar bulunan bir gölüm ve kıyımda mekki gülleri
Suyuma bakanı davet ederdim içeri 
siz rape pisledikçe çimdikleyeceğim sizi (çim çim çim)
Gözlerimde iki tatlı gonca gül ve örter onları
Siyah tülmüş şifrelerim çözülür dizlerim çözülür
Eşyalarımda benimle beraber üzülür 
Notaların en sertini uktelerime basacağım
Eskiyorum ve bende her gün tozlanıyorum bu rafta
Yapıştırdı yafta darma dumanın cesurluğu lafta 
Döner yüzün gecenin simasına hem de çok fena 
Cinayet gibi her günüm her dakkam
Uçurumların salkımlarından sarkıyorum
Kış üflüyor yüzüme ve donup saçağa dönüşüyorum
Yaz gelecek biliyorum ısıtacak kedileri ve kuşları tekrar
Yeni bahar gelecek yine kesilecek başıma aftar
Sen karşıdan hızla gel ve çarpışalım eskaza
Hayatımız üzerine lades tutuşuyolar adeta
Taş çalmadan alamaz oyunu kimi zavallı da
keramet gibi kalıyorum ayakta 
Sagopa Kajmer: Ben kapanmış defterin ortasında solan kuruyan gülüm
be gülüm bu yaptıklarınız resmen zülüm
Neyse ki halim selim talim asker talim
Yere devrilmeli her zalim 
Beslenme çantamda mermim Geç kaldım kaçtı ilk dersim
Hayatım bayram değil merasim
Sagopa Kajmer:
Yaşama karşı çocuklaşırken ilerler yaşım 
Müsvettelerim tükendi ve avuçlarıma söz yazdım
Kayıplar adres oldum oğlum takip edilen bir izim
Usanmadan peşimden gelir melankolik çocuklar bizim
Ben ince narince bir benekli çıtayım ve çıtamı aştım
Ömrümün depdebesine alıştım
Çünkü köpek gibi çalıştım
Ekmeklerimi arslanın ağzından çıkarttım
Ben ekmeği almak için ekmeklerde verdim
Ben arslanla beslendim bu ormanın kralı oldum
Sokak lambasıyım bir an beni görenler önünü gördü
Beni göremeyenlerse karanlığa karşı sövdü
Küfür kafir demedi ayyaş geceye şöyle seslendi:
""Ne zaman ki çilem dolar şişem boşalır
Ne zaman ki gözüm dolar içim boşalır
Yağma yağmur sağanak bu sağanak için yok sığınak""
Yağma yağmur sağanak bu sağanak için yok sığınak
Çok susamış susuzlar için musluklar açılsın 
İçen doyan şükretsin doyamanlar sabretsin
Bu şarkımında sonu kahretsin
Sagopa Kajmer & Kolera: Ben kapanmış defterin ortasında solan kuruyan gülüm
be gülüm bu yaptıklarınız resmen zülüm
Neyse ki halim selim talim asker talim
Yere devrilmeli her zalim 
Beslenme çantamda mermim
Geç kaldım kaçtı ilk dersim
Hayatım bayram değil merasim"
Sagopa Kajmer,Beyaban,Kötü İnsanları Tanıma Senesi,"1Bölüm
Kuşkularıma bir kuş kondu,saçlarımda kış soludu
Hınç kuruttu mutluluğunu,tırs bu kez bu hırs sorunlu
Hayat zulümlü,kader oyunlu
Kim yerlerden toplayacak sürgün kader yorgununu ?
Her işte bir hayır ve her hayırda bir de şer yatılıdır
Terim işimin kanıtıdır
Peynirimde gözü olan karga,kanatların elimle kırılır,
üzüntülerimi paketlesinler söyle fiyatı kaç mangır ?
Kırık hayaller kaç satır ? 
Bana küfreder gözlerin dudakların yardım yalvarır,
hırslarınızın yıprantısı yüzlerinizden yansır,
benden firârî bu sır
ben yapmadan önce kendi gölünde salını batır !
Günahlarımı taşıyanın adı hamal değil,melekti
Saflığında lekeydim,af buyur zaman bir hayli geçti
Yunus şıkkı seçti, 3 yanlışım bir doğrumla çekti gitti
Bütün hikayem burda bitti Beyâban,bâranın yaşı gözümün,özü bednam salmış hüzünümün yüzü gülsün
Ahvâlim suskun,dokunan bana mendil tutsun
Beyâban,fırtınan beni kavurur,gözyaşım kum olur dağılır kumun o tozuna karışır
Biraz merhamet eyleetmeeyleme 2Bölüm
Yüreğimin tel örgüsünü paramparça eden haydut,
hain çelmesiyle pusuda bekler,yüzüme bakar nemrut
Sedâmla gecenin örtüsünü yırttım dilini tut
Şüphelerim seslendikçe geçilemeyecektir benim hudut
Bak,güneş parlaklığıyla yüce,deniz dalgalarıyla ulu
Heybetimin rüzgarıyla söğütçesine titredi rabbin kulu 
göğe açılan iki elimin bil ki birdir yolu
Mikrofon icâdoldu,elim yazdı,vurdum sağlı sollu
Öldürme gözlerini görünce beni sîmamı belle !
Lisanım benimle koç,kül yutmaz hile
Bir beyitte çift sille
Bile bile gülümse
Ağırbaşlı bir dille mürekkep yalar bu dede
Uykusuz geceyle aşka dal,tam ortasında uyuya kal
Bu acımasız hayal bir kabusun esiri ve kör topal
Kendime verdim emri,kim çekerse çeksin resti
Başı dönük divânenin âvâre gezer hisleri Beyâban,bâranın yaşı gözümün,özü bednam salmış hüzünümün yüzü gülsün
Ahvâlim suskun,dokunan bana mendil tutsun
Beyâban,fırtınan beni kavurur,gözyaşım kum olur dağılır kumun o tozuna karışır
Biraz merhamet eyleetmeeyleme"
Sagopa Kajmer,Beyaz Ölüm,Romantizma,"Sagopa verse 1
Beyaz ölüm gözlerinizi yavaşça kapatıp beni iyice dinleyin
Size benden selamlar benim ismim erkan
Bugüne kadar ben her yere ulaşabilmek için genç yaşımda
Çok çabaladım çabaladım çabaladım çabaladım tertemiz çocuk
Olabilmek için bir baktımki beyaz ölümün içine girmişim
Haberim yok bunun sonu ya edirnekapı ya zincirli kule
Yerin dibine girmek istiyorsanız başlayın istemiyorsanız
Tertemiz kalın tertemiz
Yaşamak nefes almak diye yaşadın bataklığa adım attın
Saplandın toz pembe düşler girdi hayallere umursamadın
Bakmadın geridekilere gözyaşı döküldü senin için yaş 17
Elden gitti gençliğin dostlar düşman oldu anlayamadın
Olanları bitecek bir yaşam düsündürmezdiki onları hayatın
Kara lekesi kollarında mezarbaşı ana baba iste kara tahta
Yatarsın ve biter gider pembe hayaller son nefesin
Kollarında biter gider beyaz ölüm derler bunun adına çocuk
Bilinmez diyarlara yapılan yolculuk bir kere denersin
Dönemezsin geri ararız bulamayız eskisi gibi seni
Nakarat (2x)
Kara vatan seni kucaklayacak
Kabusların artık bir sona varacak
Ağlamakla kadın sana yaklasacak
Boynunu bükecek senin için ağlayacak
Beyaz ölüm derler bunun adına çocuk bilinmez diyarlara
Yapılan yolculuk bir kere denersin dönemezsin geri ararız
Bulamayız eskisi gibi seni Biz dünki gibi görüyoruz amma megersem aradan seneler
Geçmiş çocuğum olmuş karım olmuş haberim yok haberim yok
Sagopa verse 2
Bir buçuk yaşında zavalı bir bebek doğmuş ve kalmış hayata
Tek ana baba ne olacak bilemez geleceği su bir gerçek ki
Ögrenecek hepsini zamanı gelince sorulacak ona baba ne iş
Yapar cevap vermeyecek gözleri dolacak neden bunlar bütün
Bunlar nediye baba vermiş kendini beyaz ölüme ana nerede
Bunu sormak yanlış gitmiş uzaklara babayı bırakıp kaçmış
Geri de kalanlara gözü yaşlı günler farz olmuş çünkü olan
Olmuş çekmiş 25gram daha sonra cok gram ama yaşamamış
Mutluğu hayata bir gram son pişmanlık ne fayda almış bir
Defa dönüşü olmayan yola girmiş hayatında çıkmaz sokağın
Les kokuları çekenlere silahsız kuvvet gelir gerçekleriyle
Bu hayatada adresler farklılaşabilir beyaz ölüm ardından
Kara vatan gelir
Nakarat (2x)
Kara vatan seni kucaklayacak
Kabusların artık bir sona varacak
Ağlamakla kadın sana yaklaşacak
Boynunu bükecek senin için ağlayacak
Beyaz ölüm derler bunun adına çocuk bilinmez diyarlara
Yapılan yolculuk bir kere denersin dönemezsin geri ararız
Bulamayız eskisi gibi seni
Sabah öleceğiz edirnekapıda öğlenleyin yerin dibine
Gireceğiz"
Sagopa Kajmer,Bilinmezlik (feat. Kolera),Saykodelik EP,"Kolera Verse:
Kapı çalarsa lütfen açma yok kimseyi beklediğim
Sanki cinayet işledim ve yok cesedi saklayacak yerim
Güneş hergün uyandırır günü güne günaydın denilmez
Nöbeti devralır gece ona iyi geceler dilenmez
Yakaladınmı tartakla çek saçını öğrenin
Cehennemin tutuşturulduğu vakti artık öğrendim
Lütfen içinden bağır ağrılı başıma ne bu garez ?
Ses çıkarma alma nefes parmak uçlarında gez
24 saat inşaat sesleri sürer kafamda
Bir kımıldasam devrilecek kafama büsbüyük bina
Tek parça geldim diye darbe almadım sanma
Bir ben bulanıyorum kızıla bir bulanıyo kızıl bana
Bir tavuskuşuna binip buralardan artık gideceğim
Acıkırsam cebimdeki yaşlı yusufcukla besleneceğim
Ne yazık ki unutmak istediklerimi hep bileceğim
Bir iskambil eve taşınıp ilk depremde öleceğim 
--Nakarat--
Aklımı kaçırmak üzereyim ben çürük bir düzeneğin üzerindeyim
Neyin beni beklediğini bilmemekteyim her yerde bilinmezlik var    x2
Sagopa Verse: Kara tahtaya rap yazardım beyaz tebeşirlen
Büyüyünce kaldırımlara kazıdım rapin adını çiviylen
Kendimi bulmalıydım bir ufacık nedenlen
bu yollar seni çağırır kıymetli bir vesileylen
Eğlen gönül eğlen kapalı sabah buz gibi akşam ve sisli bir öğlen
Aklımda kalanlar bir kemik ve bir etten olan benden
İbareten peki ya naber senden ? anlatma dilersen tamamını koy denden
Eğer şiir sel olacaksa Şiirsellik elzem olur
Dalga karaya değdiği vakit ondan bir çok şeyler alır
Aşınır adem Bir kaya gibi eğer ki dalgan hüzünse
Düşer yaprak kendiliğinden eğer mevsim hazansa
Ölüm aşağıda ve hayat yukarıda
Doğdum ve o gün başladım o dipsiz tırmanışa kalktım bu dağa
darmadağın ayak altım  bulutumun üstüne bastım (bas!)
Kopmak üzere olan bir parçada vücudum ve tüm ağırlığım
Ellerimde kelebekler ölmelerini bekliyorum 
seyrettikçe ibret alıp dalıp dalıp gidiyorum
Duydukların kabası alınan bir kısmıdır bu bütünüm
Hali yok kırışıklıklarıma değer mi tümüm 
--Nakarat--
Aklımı kaçırmak üzereyim ben çürük bir düzeneğin üzerindeyim
Neyin beni beklediğini bilmemkteyim her yerde bilinmezlik var  x2"
Sagopa Kajmer,Bilmiyorum,,"Baharı bekle
Günü güne saati saate ekle
Bir ucundan tut hayatı , zorunluluk tabiatım
Umursamıyo zaman beni 
Pek de hızlıca gelmemek üzere yolunu tutup kaçıveriyor
Önemsemiyo vakit beni
Oysaki önemsiz hissedilmek pek bir ağır geliyor
Tahminlerim olduğundan emin olduklarım gibi bro hayat demir leblebi
Mesafe bol hazırla merkebi
Ezgiler benden 36 yıl aldı takribi
Onlarla tutundum yola bırakmadım takibi Toparlanmalıysam da beceremem
Dağılmadan bitse de nefes demeden edemem
Bu sıkı canı içimden tez def edemem
Deme derler ben demeden edemem
Kazanacaksın biliyorum ama kaç kez kaybettikten sonra bilmiyorum
Söylemezsen ne kaybedersin söylersen ne kazanırsın bilmiyorum
Toparlanmalıysam da beceremem
Dağılmadan bitse de nefes demeden edemem
Bu sıkı canı içimden tez def edemem
Deme derler ben demeden edemem"
Sagopa Kajmer,Bir Dizi İz (Feat. Kolera),Bendeki Sen,"Sagopa
Bak bu izler kalıcı, bıçaklar vardı sineme
Dayanır canım acılara, söylemeyin anneme
İzlerimdir gizlerim, yalnızken onları izlerim
Hepsi birini canlandırır, ben öldürürüm
İzlerime bakmayı sürdürürüm,
Kendimi hatalarıma güldürürüm,
Umutsuzluk çerağını söndürürüm,
Dehh düldülüm (dehhh) yolun açık olsun yolun
Öt bülbülüm duyulsun o güzel tonun
Yıllarımı paylaşan derince izler, beni izler,
Onları bir görseydiler, solardı benizler,
Ağlamaktan susuz kalırdı denizler,
Eskideki ahmaklıklarım, geleceğimi temizler
Çorbamın tuzu biberi şaşkın, kaşıktan habersiz,
Bak bir aşık gömülür kefensiz
Ölümden hızlı kaçar zaman sabırsız
Kimse değil ölümsüz herkes izli kimse değil izsiz herkes ıssız!
Yaralara bak, bu birinin değil birilerinin
İzi kalır birinin, o geçmeden izi kalır ötekinin
Hepimizin izi, bir dizi                           x2 Kolera
Sahte kahkahaların ortasında kalmışsam
Soğuk tiplerden nezle kapmışsam
Bende onlar kadar kaypak olmuşsam
Tamam sen konuş ben susam
Söylediklerim büyük amma, boyum bir tutam
Çift taraflı testere kestikçe artar debdebe
Düzlük olur ama engebe sen karışma dengeme
Bir gün izlerim geçer deme izlerin izler seni
Her gün her sene yeni izler bırakırsın yine
İçlerinde başlayıp gözlerinde sonlanıyor, ateş
Bilsen ne musibetlerim var ne nasihatlarım
Ne görmüşlüklerim var yok hiç görmemişliğim
Kimi için sade sesim bir kısar bir açarlar
Değerime paha biçerler bir biçer bir döverler
Bir hiçi böyle gömerler düşün ne yapardı Aliler Ömerler
Biz ne yaptık böyle be beyler
Boş iş boş şeyler,
Bir şeyler bir şeyler
Şu yaralara bak, bu birinin değil birilerinin
İzi kalır birinin, o geçmeden izi kalır ötekinin
Hepimizin izi, bir dizi                                x2"
Sagopa Kajmer,Bir Kulaç Daha Atsam Karadayım,Kötü İnsanları Tanıma Senesi,"Kalk,kalk,kalk ve beni dinle,
      Sana güç veririm,
      Kafanla dalaştığında sana yardım edebilirim ben,
      Beni bilirsin tam otuzluk, üç tanımlı,
      Pis sakallı, donuk bakışlı;
      İklimi az ılıman, çoğu yağışlı
      Yaşar fani yazlı kışlı,
      Onların şahidi görür gözlü,
      Benimkisi âmaydı,
      Unutmadıklarımın hepsi güzel birer simaydı,
      Sen kendinle çatışmadayken savaş verirken Sago oradaydı,
      Taşla kafan çarpıştığında ya da kafan taşa yaslandığında;
      Anlarsın ki kötü gider iyi gelir,
      Zaman sofrandaki en lezzetli mühim yemek,
      Azaldıkça aç kalmanın korkusuyla kuruyacaksın,
      Bu sebeple yaşlanacaksın,
      Çünkü sen de baştan olmak üzere sonlanacaksın,
      Trilyon da olsan harcanacaksın,
      Savaşı kes barışacaksın,
      Kendinle aynalarında birebir anlaşacaksın Bir kulaç daha atsam karadayım,
      Ben hiç böyle bir denize dalmadım,
      Üzerimde pantolonum artı ayakkabılarım,
      Ha gayret!
      Bir sürü fırtına üzerimde dolunay,
      Gün yüzü asmış, dalgalar boyum aşmış,
      Nefesime gücü bahşet Mevlâ,
      Bir kulaç daha atsam olur evelallah  Benim bu bahsettiğim o derinlik hiçbir denizde yok,
      Benim yumruklarımın içi boş, korkma yakmaz canını
      Allah seni ensen gibi dümdüz etmeden geri dön hemen,
      Dünya kızına aşık olmak seni delirtir,
      Bu kız izdivaç için ne kötü bir cariyedir
      Ecel aramaz enseler,
      Yerine gelmez sarsılan güvenler,
      İçine düştüğüm masalsı serüvenlerdir;
      Gamzelerime ab-ı hayattan can verenler
      Yüzmekten yorulduğum bu en derin denizdir boğulduğum,
      Dörtlüklerim kulacı atar, benim, benim
      Dipte vurgunum, moralsizim solgunum,
      Yine de kendimi teskin edebilecek bir seviye olgunum,
      Pişmanlık asla kaçamayacağın bir canavar,
      Elleri bazen öldürür, bazen sertçe yakalar
      Bil ki Sagopa cesaretinin bir kısmını zulada saklar,
      Yanan ışıklarımı kaplayacak kadar karanlığım var Bir kulaç daha atsam karadayım,
      Ben hiç böyle bir denize dalmadım,
      Üzerimde pantolonum artı ayakkabılarım,
      Ha gayret!
      Bir sürü
 fırtına üzerimde dolunay,
      Gün yüzü asmış, dalgalar boyum aşmış,
      Nefesime gücü bahşet Mevlâ,
      Bir kulaç daha atsam olur evelallah"
Sagopa Kajmer,Bir Pesimistin Gözyaşları,Bir Pesimistin Gözyaşları,"Verse 1
Aldanışlar orada kaldı, aldatıldın ahın vardı, aldatıldım 
ahım aldı, yalvarıldım vahım oldu, aldanışta masum oldun, 
yalvarışta yüzüm soldu dikene battı yalanın ağzı, 
yatsılarda mumlar öldü düşümü böldü sevgi çölünün ölüme 
çeken o kavuran nefesi, akşamında leşime baktım, peşime 
takılan adını kazıdım, ümidi çaldım, ahı yanıma vardı, 
vahımı şarkı yaptım, dinledikçe ağladım, gözyaşım! 
insan umudu taşıdı, kimisi kırdı umudu, lakin kiminin 
sahip olduğu tek şey oydu, hepsi buydu yoksulluk 
korkusuyla ömrü servet peşinde harcayanda gördüm 
fakirliğin özünü, çevirdim yüzümü, dostumundu teklif, 
düşmanındı ısrar, acaba nereye kadar sürer bu tekrarlar 
yalanlara radar olsan neye yarar, zararın dönüşü kârın el 
mi sallar? batan güneş yine doğar batan gemi yatan mezar, 
azar azar kazar mezar, kumar umar arar, yazar kader kime 
çıkarsa bahtı tahtı kapar, tanrı bunu hep yapar salla 
gitsin arzular gemiler zaten batık, yolla gitsin mektuplar 
adresin mi kayıp? zorla güldü âmâlar ağlamak mı ayıp? 
korla yandı umutlar geçen dünü sayıp, yor ki aklını 
hakkını sorgula düne bakıp?
Nakarat
Kaç tabut gömülecek yeraltına ve kaç kişi gidecek habersiz 
uzaklara? kaç yalan yıkacak güvenleri? kaç satır yazılacak 
kader kitabına ve kaç dua edeceksin tanrına, kaç damla 
gözyaşı dökeceksin uğruna? kaç yarın bekleyeceksin? 
sonralara kaç damla gözyaşı?
Verse 2
Tasanın etrafında gezgin olmuş insanlar kısacık molalarda tanıdılar mutluluk denen kelimeyi ve tanrı bâş etti, çile 
doğdu, hile koydu adını günahın sille vurdu, illeler 
inatçı yordu, sınava tabi tabiat ananın evlatları rabbi 
tanımadı, kimisi küfretti yaradana, zülmetti kendine, 
hükmetti paraya, çoğuna paralar sıktı kurşunu yaralar açtı 
durumu battı dünya malı uçan halı, kırılır dalı her 
ağacın, yıkılır her bina affette, gofret, bedelindir o 
dökülen tuzlu yaşlar, haşlar gözünü yıka yüzünü, hüzünü 
her adem tanır, geçici bir dövmesin şeklini çizdi tanrı 
topraklara; vakti gelince kazma kürekle silineceksin 
dayanacağın bir duvarın yoksa ör hadi, kuvvete dayanamayan 
adalet aciz, adalete dayanamayan kuvvet zalimdir, hakkımı 
isterim, payıma düşen herşeyi alırım felsefesi, haksızlık 
oyunlarında hakkı yendi, rengi kaçtı yaşamın, derdi sardı, 
yaranın acısı tacı attırdı krala dahi, bir ömür fani, bir 
umut hani? tebessüm vahi, kabusum gani yazdıklarım; 
yazacaklarımın güvencesi sago k
Nakarat
Kaç tabut gömülecek yeraltına ve kaç kişi gidecek habersiz 
uzaklara? kaç yalan yıkacak güvenleri? kaç satır yazılacak 
kader kitabına ve kaç dua edeceksin tanrına, kaç damla 
gözyaşı dökeceksin uğruna? kaç yarın bekleyeceksin? 
sonralara kaç damla gözyaşı?
Skit
neden ölüyorsun anne?
sıram geldi
ah hayır sakın korkma bir tanem ölümde hayatın bir parçası, 
vakit varken tomucukları topla zaman hala uçup gidiyor ve  bugün gülümseyen bu çiçek yarın ölüyor olabilir!
Skitler(ForrestGump-ÖlüOzanlarDerneği)"
Sagopa Kajmer,Bir Tek Bende Yok,Ahmak Islatan,"RAP 1
Bir tek bende yok çoğunda var tedirginlik ve yüzüme doğru ciddiyet nöbetindeki asker gibi belirginlik
Gözüme yansıyanlar bilindik,bir dolu sevimsizlikAkla düşman bir bilmişlik
Biyhaberler ortalarda
Bir tek bende yok hataBir çoğu yanlış rota batağa
Karanlığa saklanan hırsızlar ortaya
Balıklar oltaya
Konuştum ortaya
Gocunan sürüyor tuzu açık yaraya
Bak olaya
Bir tek bende yok şüphe
Keskin sirke sinsi yanaşmakta bak küpe
Bak köpeğe,dikti gözünü bak yemeğe
Medete yapışan uzuvlarını kesmedikçe bak yere
Kulağında prangası küpe olan köle
Bir tek bende yok kırılmış hayaller,bir düzine yıkıntı,bir süreli darmadağınlık
ve bir tek bende yokki olur olmaz alınganlık,varmak istediğim yere uzaklık ve bir tek ben de yokki alışkanlık
NAKARAT Bu halinden cay,elinde kırık ok yılmış bir yay
Kayıplarını say
Pes edersen hay hay ama benim niyetim yok düşmeye,niyetim yok hiç üşümeye
Çıkar kendine pay,bu halinden cay
RAP2
Azgın sular duruldu,boğulan boğuldu
Onlar öldü sonra soğudu,ipleri bağlıydı sonra koptu
Rastgele seçimler yaptım tesadüfler diyarında
Nedeni sonuca bağladım kararında
Onun kararlarında benim kararsızlıklarım
Benim şirin dünyamda azmanlı gargameller
Uçkur aşkının 50 farklı tonu,yakala sapık tontonuTanı !  Tanıyın!
Sarın boğaza kordonu!
İsteksizlik derine çekiyor metrelerceNefes alırken sanki nefesim kesilirce
Bunları hisseden yerlerim ezilirce
Koşmak zor ayaklar pes edince"
Sagopa Kajmer,Bir Tek Seninim (Feat. Mozole Mirach & Kolera),Kafile,"Mozole Mirach Verse:
Bana devam et derdin ancak sen bitirdin oyunumu
Bu kalp içinde paramparça sildim attım onurumu
Bir tebessüm eserin olsa çok görürdüm gururumu
vurdum öfkem ön planda kaybettin huzurunu
Bırakmamak gerekli tutulan ellerinden 
Hayatı tek seferlik ömrümün bu son kozuydu
selası verilen benim sevinmelisin 
Bu kez gülümsemelisin 
Kayıp giden ömür biter ki dalıp düşünmelisin
Sensiz tüm dakikalar kayıp ve korkak
Bakışlarımda ölümün maskesi 
Kırık çıkık bu kalpte sillesi 
Acıydı tepkisi yıkıktı hilesi 
Kana çalan o gözlerinde saklı siyahın incisi
Anlaşılan o ki zaman hafızanda bir kayıptı
Süzülen bu gözlerden tek bir damla yaştı
Aşikar sözün cevabı bil ki hep aşikardı
Onca yanlış sonrasında ben veririm kararı Sitem Depresif Verse: 
Hayallerim yıkık bu çevrede ve ellerim soğuktu zaten her gece (sis) hep yolumda bilmeceydi sözlerim kaçardı benden bir şiirdim eskilerden karanlıktı önceden İmzamı attım sadece Kaç kere yenik düştüm odama sinen o kokuna Yarına bulaşan ölüm mü yoksa bir küfür mü? Kaç yazardı yapılan her bir eylem kaç beyindi karşı gelen tek seferdi belki beklenen ve özlenen gözlenen çıkarların gözüne soktum kalemi Söylenen yalanların özüne ittim geçmişi Son dilekle kaldım yolda yanı başımda bir dua ve izlerim derin bu yolda ve hayatta yarına bir yarayla vardım ancak çok derindi Bir çocuk tanırdım eskiden, çaresizdi Tanrı aldı benden kırdı kindi kalbe hükmeden ve yerle birdi duygular kimsesizlik kelimelerdi 
Kolera Verse: 
Kuzeye doğru kaçtı uykun yavaş yavaş yol alır,
kuru yaprak sesi rapin, dilin rapimle bağlanır,
gün geçer devran döner, beden gider sözüm kalır,
gündüz geceye döner gölgeler bir uzar bir kısalır, Kayganlaştı bak yüzey aklı başına bir kaldır,
geçiştirme geçmez,göz dışa değil içe bakandır
Geçine durun hele biraz büyük gün çok yakındır,
ha aleniymiş ha gizli hepsi bir ve aynıdır
Gülme gevrek gevrek elde etmek ebelemek mi,
emek gerekli,ben rap experi, 
taştan çıkarır ekmeği,
kırık kanatlı kelebeğimin de bir günlükmüş göreceği,
elem eder zuhur,eden bulur,hedef heder olur
Beti bereketi kalmadı harmanın,belini büken kur,mağdur gurur mahçup olsa,çoktur nefse mağlup insan,kalk ayağa,yok mu haya,çekil koya,çıktı foya,geride dur,elin cebinde,cebin delik,elinde zekan mendebur 
beat by mozole mirach"
Sagopa Kajmer,Bir Var Bir Yok,İkimizi Anlatan Birşey,"Sagopa Verse:
Yine Benn!!
Gökyüzünden baktığımda insan karınca görünür
yerden yükseldikçe cüssen giderek küçülür
bugün esen rüzgarlar zerrelerimi aldı benden uçurdu
dün koca bir ağacın yaprakları havada raksa tutuldu
mevsimler ve yapraklar arası daim savaş - barış var
ölüm yahut yaşam var, suçlular ve merhumlar
kimse birinin ruhunu ele geçiremez ilahtan başka
insan parayla satın alma yoluna gider insanı, ya başka?
Bilmem neden diyologlarınız bu derece laçka
Hiç ölmeyecekmiş gibi günü gün etmeniz saçma
saf temiz pırlanta şahsa iftiralar saçma
içinde olanı bilmeden, bilinmedik bir kutuyu açma!
Evine dönmeye çalışan tırtıl gibiyiz bizler tehlikede
tavsiye koleksiyoncusuyuz, güvenlerimiz engebede
anılarımı düşünürken ben, yaralarımı hesapladım
nefesimle yarış halindeyim, adımlarımı hızlandırdım
önceden ferah, rahattım, üzüntüden zayıfladım
birinin yaptığı yanlıştan ötürü ben ayıplandım
iblisin ağzında sayıklandım, bir pirinç tanesiyim
çakıllardan ayıklandım, çakallardan kaçtım
Nakarat:x2
Birgün siyah renge sor hep karanlık içini yakar
bembeyazdım kirlendim, taşlandım yuhlandım bittim
birgün al sancımı çek gör! Sinmiş içine kapanmış ağlar
bir var bir yok bedenim, tercihimde hakkım yatar
Kolera Verse:
Metin ol, yağmur yağsa benim kafama düşer kor
emeklerimiz ziyan ettin koş toz ol üzme beni be ben en bahtı kara şanssızım
geleceğime meraksızım, ben yalansızım
ışıktan rahatsızım
Adam olsa marazi, doğru benim terazi,
bitene denir mazi Kolo tek bacaklı gazi
durma sende al bi şan, çok perişan gidişat
şaklabanla doldu taştı camiam artık et berat
Deneme rapim edilmez alt
oldu denedin ettin halt
Critical mürettebat
1 dişi 2 irtibat, hergün değil senede bir
içten güldüm bunu da bil, oldum bende yerle bir
adım sözlerime kefil
içerlikleri tekin değil, çuvalın ağzını iple boğ
sen yaralı ben ölü hayli ağır bilanço
bu hızla viraj alınmaz, kes gazını, çek elfo
bir verse de atayım da ordan gel ve
sen de rapime doy
Öğüdüm ağır omuzlarımda inler durur habire
mecburen yağtığım her işi yaptım şeytan şerrine
bu ne yorgunluk dinlen kolo çek bir tabure
Celaleddin der dışına o sızar ne varsa testide
Nakarat:x2
Birgün siyah renge sor hep karanlık içini yakar
bembeyazdım kirlendim, taşlandım yuhlandım bittim
birgün al sancımı çek gör! Sinmiş içine kapanmış ağlar
bir var bir yok bedenim, tercihimde hakkım yatar"
